iter	Logloss
0	0.4196347429
1	0.2518836742
2	0.1388947644
3	0.08336645613
4	0.05242966608
5	0.0387914033
6	0.02826888571
7	0.02267529878
8	0.0185791959
9	0.01594317995
10	0.01497612248
11	0.01276498843
12	0.01141677589
13	0.01078255191
14	0.0101141846
15	0.009669608342
16	0.009189315166
17	0.008395899826
18	0.007873117339
19	0.007691323982
20	0.007478518832
21	0.007007702068
22	0.006799009136
23	0.006464756738
24	0.00620729595
25	0.005891127271
26	0.005812848018
27	0.00569064617
28	0.005562975258
29	0.005365195808
30	0.004986254576
31	0.004861162785
32	0.004667553125
33	0.004605186163
34	0.004433550317
35	0.004357081684
36	0.00418826807
37	0.004150359269
38	0.004118702399
39	0.004118524183
40	0.004117949712
41	0.004064387398
42	0.003958008404
43	0.003865092728
44	0.003780614058
45	0.003735622029
46	0.003735783997
47	0.003735409222
48	0.0037352272
49	0.003735103197
50	0.00373499891
51	0.003735214256
52	0.003703806923
53	0.00360770673
54	0.003579809305
55	0.003554198485
56	0.003554265151
57	0.003513224405
58	0.003488251105
59	0.003488239377
60	0.003452924095
61	0.003336954239
62	0.003336899016
63	0.00333685973
64	0.003302605095
65	0.003302625463
66	0.00325426018
67	0.00321060167
68	0.003210686558
69	0.00319483777
70	0.003110989808
71	0.003061988439
72	0.003062000913
73	0.003050573128
74	0.003016022395
75	0.003006525622
76	0.00299138204
77	0.002991442722
78	0.002917497263
79	0.002906373138
80	0.002867654671
81	0.002867654671
82	0.002867573768
83	0.002847020081
84	0.002756242567
85	0.002722294848
86	0.002691539492
87	0.002634834689
88	0.002600110271
89	0.002590861834
90	0.002575849728
91	0.002575793978
92	0.002537683951
93	0.002537579672
94	0.002499610863
95	0.002458204466
96	0.002458204466
97	0.002376673333
98	0.002376876132
99	0.002376729351
100	0.002376714258
101	0.002376714258
102	0.002338714406
103	0.002338789058
104	0.002338789058
105	0.002338602281
106	0.002338557618
107	0.002305607404
108	0.002288215344
109	0.002288109334
110	0.002284425233
111	0.002280888386
112	0.002272343938
113	0.002254941526
114	0.002214509548
115	0.002207700753
116	0.002207700753
117	0.002179481075
118	0.002179567081
119	0.002179584992
120	0.002147022798
121	0.002147022798
122	0.00214697857
123	0.002102263061
124	0.002080128284
125	0.002080044469
126	0.002049832813
127	0.002019861499
128	0.00200078438
129	0.001999732971
130	0.001999732971
131	0.001999932113
132	0.001999457443
133	0.001935548935
134	0.001936471041
135	0.001936296821
136	0.00193166213
137	0.001931191419
138	0.001920892466
139	0.001920474126
140	0.001920474126
141	0.001921461922
142	0.001916274743
143	0.00189708348
144	0.00188283933
145	0.001870690454
146	0.001861957109
147	0.00184475626
148	0.001836197316
149	0.001833034922
150	0.001831947242
151	0.001831687616
152	0.001831621395
153	0.001831842281
154	0.001818569463
155	0.001818112757
156	0.001800526355
157	0.001770910229
158	0.00176815761
159	0.001767909061
160	0.0017674188
161	0.001762782518
162	0.001762427608
163	0.001763662351
164	0.001762282747
165	0.001762282747
166	0.001762282747
167	0.001762092037
168	0.001758779149
169	0.001759340292
170	0.0017596245
171	0.00175405769
172	0.001751515286
173	0.001751887746
174	0.00175106345
175	0.001751009017
176	0.001751009017
177	0.0017517939
178	0.001751213929
179	0.00175188665
180	0.001751517211
181	0.001748122087
182	0.00174706987
183	0.001748117277
184	0.001747177872
185	0.001747687284
186	0.001747791846
187	0.001747723792
188	0.001747094468
189	0.001746620517
190	0.001747193675
191	0.001747425898
192	0.001748599375
193	0.001747726247
194	0.001747114861
195	0.001748095978
196	0.001747222141
197	0.001747529005
198	0.001747353032
199	0.001747202997
