iter	Logloss
0	0.535920461
1	0.4425333341
2	0.3536540137
3	0.2915597757
4	0.247399807
5	0.198090752
6	0.1728362507
7	0.1505939431
8	0.1313877636
9	0.1186667548
10	0.1064064105
11	0.09440830681
12	0.08554316892
13	0.07999241352
14	0.07334384653
15	0.06669347816
16	0.05782173077
17	0.0533755223
18	0.04969585273
19	0.04717152649
20	0.04398196936
21	0.0387120578
22	0.03586582674
23	0.03358844585
24	0.03081752194
25	0.02951116363
26	0.0277679099
27	0.02480949296
28	0.02381117145
29	0.02301322752
30	0.02204769188
31	0.02067613933
32	0.01972540551
33	0.01911698447
34	0.01834248669
35	0.01781312956
36	0.01714754932
37	0.01647887296
38	0.01577430632
39	0.01530814171
40	0.01479009953
41	0.01425545083
42	0.01341228684
43	0.01308232711
44	0.01275278959
45	0.01242580182
46	0.0119097299
47	0.01163703369
48	0.01132002142
49	0.01107807623
50	0.01089544925
51	0.01066684971
52	0.01050628556
53	0.01006643143
54	0.009922032555
55	0.009712528851
56	0.009476414157
57	0.009243099226
58	0.009083290895
59	0.008838813338
60	0.008689810832
61	0.008574513925
62	0.008291474647
63	0.008144070705
64	0.008056104183
65	0.007948742972
66	0.007823321554
67	0.007721675767
68	0.007620589601
69	0.007456402812
70	0.007328444057
71	0.007168569499
72	0.007065034575
73	0.006990505589
74	0.006918179078
75	0.006813090295
76	0.006690411518
77	0.006624146054
78	0.006534967985
79	0.006465795553
80	0.006374832657
81	0.006301535086
82	0.006218949954
83	0.006127539194
84	0.006066603793
85	0.005991384387
86	0.005935021573
87	0.005879453487
88	0.005806540036
89	0.005718986193
90	0.005650442921
91	0.005584050384
92	0.005531283716
93	0.005456775427
94	0.005408920348
95	0.005356695917
96	0.00530545993
97	0.005253659354
98	0.005156050126
99	0.005111627695
100	0.005028996203
101	0.004986515476
102	0.004945586125
103	0.004904347575
104	0.004821490082
105	0.0047425131
106	0.004665582958
107	0.004628702998
108	0.004592712141
109	0.004522044212
110	0.004453290254
111	0.004387151864
112	0.004323101292
113	0.004238360044
114	0.004169935154
115	0.004103159739
116	0.004047656225
117	0.003993885385
118	0.003932509571
119	0.003884022021
120	0.003826829708
121	0.003780456881
122	0.003735942145
123	0.003692607085
124	0.003650123874
125	0.003608698232
126	0.003568040828
127	0.003528277907
128	0.003489851952
129	0.003452036323
130	0.003414985206
131	0.003379009664
132	0.003343715022
133	0.003308552835
134	0.003274716023
135	0.003241538174
136	0.003208839645
137	0.003177160397
138	0.003145869407
139	0.003115163495
140	0.003085753156
141	0.003071084826
142	0.003057123886
143	0.003043124659
144	0.003029137643
145	0.003015442855
146	0.003002023324
147	0.002974275086
148	0.002960788707
149	0.002947950529
150	0.00293477666
151	0.002922283692
152	0.002909363558
153	0.00289674393
154	0.002882927035
155	0.002869846506
156	0.002856090251
157	0.002843146523
158	0.002829795496
159	0.002816648119
160	0.002804113966
161	0.002791079382
162	0.002778530535
163	0.002765918358
164	0.002753876977
165	0.002741641675
166	0.002729121389
167	0.002717310356
168	0.002705207095
169	0.002693071547
170	0.002681713965
171	0.00267010327
172	0.002659078687
173	0.0026472571
174	0.002636144973
175	0.002625126806
176	0.002614207152
177	0.002603218373
178	0.002592292097
179	0.002581985874
180	0.00257129098
181	0.002560674523
182	0.002549845311
183	0.002539271696
184	0.002529089856
185	0.002518900981
186	0.002508916168
187	0.002498843397
188	0.002488717851
189	0.002478841278
190	0.002468852533
191	0.002459396505
192	0.002450220701
193	0.002440368343
194	0.002431288775
195	0.002421822813
196	0.002412340293
197	0.002403178977
198	0.00239417495
199	0.002385291581
200	0.002376384205
201	0.002367445992
202	0.002358451072
203	0.002349826818
204	0.002341424425
205	0.002332598385
206	0.002324305682
207	0.002315308899
208	0.002306905472
209	0.002298279148
210	0.002289940293
211	0.00228148616
212	0.002272909714
213	0.002265105231
214	0.002256649236
215	0.002248871244
216	0.0022405595
217	0.002232950181
218	0.002224801315
219	0.002217053539
220	0.002209419385
221	0.002201544949
222	0.002193990681
223	0.00218658915
224	0.002178188413
225	0.002170415388
226	0.002162222233
227	0.00215421617
228	0.002146655694
229	0.002138538286
230	0.002131167799
231	0.002123576072
232	0.00211568363
233	0.002108041404
234	0.002100545085
235	0.002093090986
236	0.002085589907
237	0.002078044125
238	0.002070675501
239	0.002063438503
240	0.00205630271
241	0.002048747821
242	0.00204183451
243	0.002034923683
244	0.002027737598
245	0.002020946186
246	0.002013514439
247	0.002006683292
248	0.001999650978
249	0.001993431606
250	0.001986296434
251	0.001980245527
252	0.001973643692
253	0.001966406281
254	0.001959984708
255	0.001953064154
256	0.001946637614
257	0.001940342287
258	0.001934101184
259	0.001927914926
260	0.001921595799
261	0.001915312476
262	0.001909396715
263	0.001903033091
264	0.001896880774
265	0.001891022134
266	0.001885002272
267	0.001878938327
268	0.001872040538
269	0.00186596728
270	0.001858722419
271	0.001851738327
272	0.001846067607
273	0.001839053093
274	0.001832103978
275	0.001826364547
276	0.001819570238
277	0.001812898243
278	0.001807775348
279	0.001802926262
280	0.001797624346
281	0.001792409561
282	0.001786088364
283	0.001780813353
284	0.001775924323
285	0.001771330833
286	0.001764660287
287	0.001760223053
288	0.001755177354
289	0.001750714663
290	0.001745875511
291	0.001739693392
292	0.001734770834
293	0.001730553185
294	0.001726070522
295	0.001719901131
296	0.001715013447
297	0.001710618122
298	0.001705934604
299	0.00170035029
